x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z,f_m,f_x,f_y,f_z
-45.00,-0.092242,66.00,-45.00,-0.053950,66.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00,0,0,0,0
-48.00,-0.076417,66.00,-48.00,-0.042834,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-51.00,-0.061462,66.00,-51.00,-0.032839,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
-54.00,-0.048160,66.00,-54.00,-0.024637,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
-57.00,-0.035404,66.00,-57.00,-0.016977,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
-60.00,-0.024551,66.00,-60.00,-0.011032,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-63.00,-0.015278,66.00,-63.00,-0.006253,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-66.00,-0.008092,66.00,-66.00,-0.002886,66.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
-69.00,-0.003110,66.00,-69.00,-0.000784,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-72.00,-0.000711,66.00,-72.00,-0.000117,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
-75,0.000001,66,-75,0.000001,66,0,0,0,0,0,0,0,13.89,-12.82,-1.55,5.11
75,0.000001,63,75,0.000001,63,0,0,0,0,0,0,0,15.66,14.46,-1.67,5.76
72.00,-0.000913,63.00,72.00,-0.000477,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
69.00,-0.003685,63.00,69.00,-0.002104,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
66.00,-0.009138,63.00,66.00,-0.005797,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
63.00,-0.017397,63.00,63.00,-0.011804,63.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
60.00,-0.028098,63.00,60.00,-0.019885,63.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
57.00,-0.040907,63.00,57.00,-0.029807,63.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
54.00,-0.056027,63.00,54.00,-0.041849,63.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
51.00,-0.072830,63.00,51.00,-0.055437,63.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
48.00,-0.092053,63.00,48.00,-0.071336,63.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
